Dataset,Query,Millisecondi
25%,Query 1,34.00754928588867
25%,Query 2,5.001544952392578
25%,Query 3,29.74843978881836
25%,Query 4,7.001161575317383
50%,Query 1,49.0109920501709
50%,Query 2,239.51339721679688
50%,Query 3,59.65614318847656
50%,Query 4,77.01611518859863
75%,Query 1,78.0174732208252
75%,Query 2,173.28786849975586
75%,Query 3,168.03646087646484
75%,Query 4,281.0642719268799
100%,Query 1,134.6428394317627
100%,Query 2,229.05254364013672
100%,Query 3,311.92851066589355
100%,Query 4,692.9483413696289
