Dataset,Query,Millisecondi,Media,"Intervallo di Confidenza (Min, Max)"
25%,Query 1,110.92512607574463,110.92512607574463,"(102.0175922084479, 119.83265994304136)"
25%,Query 2,557.9070885976156,557.9070885976156,"(537.7275954579643, 578.0865817372669)"
25%,Query 3,313.1770928700765,313.1770928700765,"(297.58145329863925, 328.7727324415137)"
25%,Query 4,1206.9960753122966,1206.9960753122966,"(1178.551207057196, 1235.4409435673972)"
50%,Query 1,390.16892115275067,390.16892115275067,"(375.16627212593363, 405.1715701795677)"
50%,Query 2,3870.812177658081,3870.812177658081,"(3835.4924723308513, 3906.1318829853108)"
50%,Query 3,978.6238352457682,978.6238352457682,"(954.1197269064082, 1003.1279435851282)"
50%,Query 4,5136.486252148946,5136.486252148946,"(5093.868950815497, 5179.103553482395)"
75%,Query 1,845.2562093734741,845.2562093734741,"(825.2635633064215, 865.2488554405268)"
75%,Query 2,12196.481108665466,12196.481108665466,"(12101.989634709065, 12290.972582621867)"
75%,Query 3,1809.605844815572,1809.605844815572,"(1790.1729450365615, 1829.0387445945826)"
75%,Query 4,12344.587659835815,12344.587659835815,"(12257.82477775597, 12431.35054191566)"
100%,Query 1,1465.7801230748494,1465.7801230748494,"(1441.189201203672, 1490.3710449460268)"
100%,Query 2,27564.308961232502,27564.308961232502,"(27484.349330784502, 27644.268591680502)"
100%,Query 3,2536.0064109166465,2536.0064109166465,"(2507.243263446289, 2564.769558387004)"
100%,Query 4,47092.369516690575,47092.369516690575,"(46866.988485149814, 47317.750548231335)"
